ZIP	census_county_2010	census_state_2010	STATE	ChildrenHHCount	length_of_residence	children_ind	head_hh_age_code	GE_LATITUDE_2010	GE_LONGITUDE_2010
30012	146	21	KY	13	27	1	F	48.61461747985679	-112.94803714314149
73273	355	52	NV	2	55	1	I	34.57653940690929	-120.2075288522685
51626	321	22	VT	4	67	1	E	33.91820325942093	-83.18785623281914
90695	377	39	ID	7	9	1	H	37.17696975919118	-109.90540285020197
30231	467	45	OK	6	66	0	I	32.81539149338216	-82.91631541754107
33142	479	08	MI	12	37	1	L	42.408242576552254	-86.7129663894546
52652	521	00	OR	9	40	0	J	47.46537880528982	-103.20518111277387
35442	532	07	PA	8	10	0	A	42.33775979774204	-98.2788294228986
16430	394	00	PA	1	40	1	K	41.58970582216444	-93.68647093997961
39106	536	14	AK	14	5	1	L	29.222051827306135	-82.25140892524286
67640	480	18	ID	1	32	1	E	45.361246930799766	-106.03005269384418
32732	016	40	OH	13	67	0	K	32.49901867839705	-91.9648288840566
99356	120	26	ND	2	28	0	J	42.00376942329016	-90.15542422455985
55386	287	13	AZ	2	70	0	F	36.35121672954428	-81.97723173237807
61882	018	42	KY	2	10	1	D	37.62863202360571	-87.980921073411
85798	194	04	OH	14	55	0	M	45.47157114498779	-122.27244523560799
64429	390	21	NE	12	54	1	A	28.632530281566982	-80.98423193382982
34021	317	33	FL	12	36	0	B	40.95003755371336	-118.38445171537381
88271	513	07	MD	4	70	1	L	39.749428552155194	-88.68138033572077
40526	272	23	AL	11	21	1	G	44.661073157185115	-72.05873262685779
82948	424	57	AZ	14	68	1	H	31.39561174078451	-88.69228331687559
67381	415	51	AR	9	44	1	F	33.352629589169666	-113.89567404786823
13527	204	35	NV	12	23	0	C	38.0894031435188	-104.10691960765578
97273	188	38	NV	1	29	1	L	38.137390846391966	-108.73472830211955
52965	431	57	GA	10	38	1	H	29.155051665220913	-99.66138407998852
32993	417	33	DE	9	24	0	H	48.05149153278584	-102.78569137375304
98379	530	32	DE	1	5	1	I	32.089937662470824	-93.38850258701763
70473	313	13	MA	5	39	1	E	44.759045959636985	-83.55201385021766
53307	390	41	PA	15	12	1	J	38.90809763749825	-110.09690643460782
77297	146	05	SC	5	39	1	F	44.56605459192018	-115.29147558140208
55869	042	17	MD	9	22	0	J	43.79445230231195	-70.38789387689869
35177	144	56	TN	1	3	1	F	37.98035404607012	-101.85893626075175
69663	289	31	IL	10	40	0	C	47.17413231746804	-106.20368606831815
84007	459	12	FL	10	54	0	C	45.69047746149821	-116.76397860551445
21908	249	07	SD	14	9	1	J	45.89791066710164	-118.15923747663076
58306	581	58	OK	12	61	1	K	33.872525238750626	-110.20524755721004
70143	008	31	MD	1	27	1	A	31.1430868871429	-83.55427978619494
10605	592	41	WY	15	12	0	D	39.56918822792015	-113.3018591697142
71049	482	16	AZ	10	28	0	K	43.41887880552561	-107.50838670671756
52244	194	59	UT	12	8	0	J	43.47914190730961	-98.69544251345759
31544	140	52	OK	10	63	1	K	39.50392239147712	-94.83084578106022
44754	519	50	NY	13	60	0	H	40.86631289203574	-82.22447183995126
45843	209	29	VA	14	53	0	C	47.7768576541138	-118.23781758351383
84208	344	58	IL	11	42	1	I	32.45244540299646	-113.8617826066397
52660	504	35	DC	6	15	0	E	45.688539722390956	-103.1822967129593
54934	545	42	TX	4	10	1	E	45.11104070410238	-69.03183372133839
49830	064	23	TN	5	19	1	D	42.64934551812422	-87.05522590753661
61938	144	45	PA	2	33	0	E	38.53941853843754	-91.41948490349424
32533	455	16	RI	9	7	0	J	37.49796295583476	-120.60103354279748
70304	428	01	KY	1	48	1	L	36.522970029093635	-96.28372564426682
10279	109	17	SD	14	25	0	A	36.70345588934114	-118.92727579166444
71500	223	57	VA	15	37	1	K	43.74312329376266	-112.46117961721178
12815	196	09	VT	2	54	0	E	39.90124924907162	-108.88470300549656
33319	290	01	HI	2	39	1	J	46.10147843205193	-84.01613519357147
47348	130	40	NE	4	52	1	L	44.173290505234334	-108.52040532275834
94017	512	14	AL	4	55	0	I	35.92038003495048	-110.49298391198977
46273	260	27	ND	13	69	0	H	45.41813481536606	-99.15798214770975
18197	279	39	ME	7	27	1	G	42.347818067774966	-105.49459957905083
41735	313	35	HI	0	25	1	D	45.12921654742501	-83.34596393979419
42147	272	03	WA	3	59	0	M	42.529538120366844	-107.03556929035467
90485	247	12	WI	0	51	0	B	38.63812188496768	-104.52137286201611
15344	293	38	IN	5	36	0	G	35.939404632118844	-114.05831944119812
46524	237	11	GA	7	10	0	M	35.32349338957467	-118.48272839078277
68371	410	05	NH	6	45	0	K	38.113820901723244	-103.69622917207931
63930	497	10	SD	11	25	0	K	30.032881321790324	-104.4319321599697
63182	041	37	WA	2	50	1	A	30.829347368757347	-102.33704575790495
87506	322	01	VT	0	0	1	F	36.6780585373927	-96.87878165964193
23455	171	53	NC	3	19	1	C	30.76412402277069	-90.99051266490306
39935	497	04	PA	5	61	0	K	33.86147390526183	-116.37762738980238
43252	463	19	IN	15	7	1	A	44.06131341370542	-109.50364615901596
62773	460	56	WY	6	40	1	A	40.266133574373	-75.55097120349114
59559	223	48	OR	8	64	0	D	41.271246187134864	-121.27035282151728
31120	402	05	LA	5	20	1	G	35.72023388146341	-119.97605115546696
42156	038	26	CO	15	36	0	M	46.23658764076857	-69.56974461069822
13345	525	20	MD	10	61	1	G	41.66604732526591	-97.47970187016641
98802	393	10	WI	10	5	1	E	40.063850463465165	-79.82791494573442
58074	568	33	MI	14	28	0	B	35.71475917332481	-78.52878485946587
73965	469	21	TX	12	30	1	A	42.950360843280045	-118.84763574056623
