ZIP	census_county_2010	census_state_2010	STATE	ChildrenHHCount	length_of_residence	children_ind	head_hh_age_code	GE_LATITUDE_2010	GE_LONGITUDE_2010
84890	036	35	DC	10	67	1	D	38.59443191810561	-96.55724631654326
71724	366	13	OH	10	40	1	D	33.82287445302272	-90.80349945173344
95229	244	06	SC	7	26	0	B	36.10183467152423	-97.64340239978625
72275	271	41	TN	14	20	1	L	41.10330934697675	-105.64968636133946
85246	587	51	SD	10	6	0	F	45.030282438742915	-89.20529564064718
10511	403	34	TN	5	52	1	H	40.00325734521407	-100.9123747416534
39903	153	27	WA	15	45	0	J	37.47466966971367	-89.47732391627275
53655	140	24	WY	10	50	1	A	46.216172350925135	-116.29642898928653
40000	191	57	DC	11	15	0	G	40.701192840468664	-97.10138598583434
17558	020	05	SD	12	44	0	I	47.8422902822648	-91.07664231299503
45397	170	45	OR	13	34	0	H	46.614963728382534	-101.91809902958923
47008	254	55	WA	15	1	0	G	42.968893925776115	-77.27697826474015
51231	442	21	NM	6	38	1	H	42.45567995714157	-105.78735647780601
33345	019	27	GA	7	14	0	I	31.07117957378928	-89.58354776743099
14833	520	49	MI	13	64	1	B	32.737312909930196	-81.19083622839675
60962	413	10	UT	7	27	0	B	35.78747137607109	-118.54443579546032
61376	487	43	NE	0	50	0	G	32.8362092089105	-93.3086712354276
80287	434	04	MT	10	42	0	A	39.056405942586494	-83.55998573728469
66135	301	27	MS	6	67	0	G	38.99355767291363	-75.89521257810101
67080	125	01	PA	8	36	0	D	47.72384093708313	-94.41726997246491
26786	059	51	TX	1	5	1	D	38.28817728812132	-110.72728269383597
18565	333	13	UT	6	32	0	D	31.443580564728023	-86.88981767995175
27657	318	11	SD	2	25	1	E	48.16192482039501	-103.42313443859558
25578	519	24	MD	7	32	1	H	26.69459283141237	-97.34662814189731
25285	057	09	MD	15	33	0	C	32.17617067062888	-83.62313560962308
59411	173	23	MS	6	58	1	E	45.020156212359375	-103.17145149263581
92502	152	56	NC	0	44	0	K	30.099098096202866	-103.18650511328144
51352	230	58	NV	15	12	1	F	37.52304184824426	-121.54787521358934
66823	322	34	HI	12	33	1	G	36.24420545508535	-88.50803256521297
43041	504	34	OH	13	15	1	F	26.237464898332455	-80.21902530061416
25332	435	08	NC	5	11	1	B	38.59270121929282	-110.74909142708923
72459	258	47	ME	11	61	1	G	44.24325824570295	-89.28199542171393
89989	296	41	PA	0	42	1	L	41.649912597344084	-120.26869177738848
65132	488	56	IA	10	52	0	L	29.65988460296267	-103.85777945017742
86970	273	53	CO	1	67	0	J	38.46638703613382	-75.92480947025138
84113	528	49	VA	13	14	0	A	46.43673327682298	-99.53513929132599
80616	096	01	AR	11	14	1	F	41.28830429827223	-99.5645099200618
