ZIP	census_county_2010	census_state_2010	STATE	ChildrenHHCount	length_of_residence	children_ind	head_hh_age_code	GE_LATITUDE_2010	GE_LONGITUDE_2010
17646	432	37	TX	5	34	0	D	27.867549113711533	-99.856048935905
71551	158	14	WY	0	19	0	C	38.63072341857148	-115.51011418313387
25959	166	49	LA	0	56	1	D	33.96922281445954	-106.35887369710458
95311	585	17	WA	0	6	1	M	33.78172514150198	-94.96342034357758
62692	402	02	PA	11	68	0	J	38.070502768984944	-112.7448792147832
79277	071	23	SC	3	36	1	I	46.63176346159693	-112.81853142512963
40057	102	21	DC	6	17	1	E	32.58379885090051	-86.07826083513748
20277	054	04	ID	13	31	1	M	42.71378963974041	-113.17158049340107
90438	009	54	HI	15	31	0	E	38.328863414990636	-117.01159795774761
43126	083	26	GA	12	11	1	H	40.65763837307911	-103.37652420785588
60630	083	50	ND	13	69	1	M	31.463446110856005	-95.60092046364518
64543	482	02	IA	6	55	1	I	37.314518153342064	-97.30704689494655
64549	485	58	KY	13	54	0	E	31.95566015081567	-106.6175217932812
93884	300	43	WI	10	52	0	G	40.86264579146266	-79.1593626729397
57696	202	45	OK	15	46	1	A	35.470816413228086	-120.65518757972511
80797	527	34	CA	1	35	1	G	30.99021031364895	-100.5148659797546
89764	083	01	MN	10	12	0	B	45.01499043818666	-83.23980149155386
29798	447	34	DC	5	45	1	L	48.408578285044456	-94.03185343616617
54820	106	44	KY	2	59	0	G	33.224808504870154	-111.27296264695134
85299	460	18	ND	8	11	0	A	36.12820968600752	-84.01758581181198
67952	066	52	MT	12	24	0	A	38.140582608533975	-95.4260645723689
55944	247	52	VA	6	57	0	A	47.527321548108915	-102.66178450422231
18843	502	55	IL	13	66	1	B	35.110366669846144	-108.78910861361551
46253	279	22	VA	7	67	1	B	32.97117401938458	-81.1686061020739
90732	009	00	IN	12	33	0	D	43.92191383090058	-123.8820244765642
86991	017	02	MI	0	64	1	E	42.362948747260276	-79.59464511010864
11548	300	31	WY	15	40	1	L	38.89906146948907	-79.7856025635524
40380	588	59	MD	0	33	1	E	44.1371741937608	-72.96270054436339
71046	503	58	ND	3	69	0	G	46.28166849393218	-85.8858329849596
37135	536	21	FL	10	5	0	C	38.56778413275893	-115.64586256785259
53407	231	16	MI	5	5	1	H	41.696153214865795	-89.90661057032406
12450	371	28	UT	1	20	0	F	32.149709043518286	-103.17591947163024
28327	100	15	NC	12	34	1	C	37.42076484207917	-81.10083643087302
91418	257	32	AR	9	9	0	G	46.284782706198605	-112.17664337582575
24506	558	55	KY	1	16	1	B	32.841164162809605	-96.7290246512934
31185	544	14	TX	14	32	1	E	38.29659829231953	-89.61062404489704
14920	022	44	FL	0	21	1	E	42.236060183747234	-76.82641616283526
81566	139	21	IA	6	27	0	K	41.87327803198871	-102.5811474055323
94917	399	31	AZ	1	5	0	L	36.14762833778426	-85.66941839404993
93324	329	37	CA	11	60	1	L	32.922682957624964	-103.2367886128987
70073	120	41	VT	8	12	0	B	34.308029673766384	-90.826218267441
15566	294	13	ID	11	69	0	F	34.57640575947955	-98.74014759792084
80443	017	38	WA	7	6	1	I	42.49112393021808	-75.36838461927823
55591	138	01	NC	2	29	0	L	47.68670966369223	-114.2849011947824
52413	481	02	NV	15	33	1	K	38.038335998381285	-99.74993785878081
23513	170	17	MS	10	48	0	A	37.61372709107398	-93.08362724009991
76335	489	57	CA	13	19	1	J	39.78524282304251	-75.49547610217739
64266	025	06	WA	7	68	1	I	45.22041329515498	-119.3472945874733
87649	274	16	CT	12	67	0	G	41.78875713629158	-124.16947128589737
17346	043	30	RI	7	21	1	I	39.46287735978242	-86.35114452075752
52636	414	10	SD	13	60	1	L	47.47396857464881	-113.39230383786656
44566	495	33	NM	8	68	1	C	42.992615962611964	-109.73897835173042
64584	598	26	GA	1	38	0	L	39.62563200023984	-92.46989030700928
84843	229	53	NV	8	61	0	K	46.59069956555967	-115.80914678299087
37559	269	35	RI	5	59	1	I	47.91576541486446	-88.21970047541276
63487	330	22	KY	2	19	0	K	40.25574620447066	-74.969800362238
20943	083	09	MA	5	19	1	L	32.99584264217454	-108.5296575909272
54408	067	55	DC	7	64	0	J	31.897009375591836	-108.90347332476654
99233	217	45	OR	10	36	0	A	43.678197162014015	-113.67198561892118
80932	521	09	NE	13	45	0	H	37.50898789318406	-81.56585109865709
73031	151	22	VT	0	8	0	K	37.458864666267004	-83.50578007430394
61311	376	45	TN	10	33	1	A	34.17874413918337	-88.86767764811168
88368	278	02	TX	2	1	0	K	30.669033148646804	-90.65606858048423
41902	447	57	CT	14	23	1	J	46.75029238311889	-124.03193879866608
97411	498	19	HI	2	30	1	G	38.68669512954916	-122.53597913918844
72097	451	51	WV	12	21	1	F	31.410518870511243	-105.36887782120148
11671	352	59	ID	2	10	0	E	43.59212206119548	-100.10795607309093
55579	403	22	SD	0	10	1	B	36.06890231918115	-95.73483761154029
99211	372	32	SC	14	0	0	K	47.06485522996795	-109.56089670953952
76498	205	45	GA	0	5	1	I	48.53173664274036	-107.03986186302748
83147	060	33	SD	9	9	0	M	44.96296913374566	-87.47706613294083
42739	184	37	WV	0	3	1	E	41.15621273866998	-105.63548394174532
81765	556	58	DC	5	59	0	G	45.80143387752662	-87.97951143546754
91629	173	11	TX	4	37	0	E	42.65781234130354	-122.0096245142685
14705	005	21	MT	12	3	0	J	41.724293447737594	-87.6857370832726
32616	480	18	CA	15	9	1	M	41.74627670295794	-109.22545639960283
34214	236	40	RI	0	22	0	C	28.02284073503663	-97.08565449579703
47475	204	46	MN	8	39	0	F	34.94356993089197	-98.02398437707362
27329	024	15	NC	7	49	1	I	38.211916210885875	-95.85721693886583
49293	522	47	MD	14	57	0	G	33.53836462585619	-98.31271003001604
79679	448	31	VT	2	68	0	K	44.30585961162814	-103.60340674011897
82530	177	24	OR	15	11	1	L	35.51681389132923	-112.87642639645198
27764	582	47	HI	8	38	0	A	41.285670474976826	-104.0244360820057
23520	185	28	HI	13	6	1	E	47.63648754879485	-89.8293715558875
33447	152	48	KY	3	30	0	F	38.3954209368959	-88.90889482662513
87160	000	38	NV	4	59	0	H	42.574160436461185	-96.78453281628138
38890	060	52	CA	7	11	0	D	44.8103008238695	-90.6370904361032
88766	567	54	WY	1	57	0	E	41.02893352766053	-79.9016428642822
97249	286	43	SC	8	18	1	J	46.81048033861089	-103.96385779381629
56486	258	44	CO	15	26	1	H	43.46225763803642	-91.27825441558527
67990	142	41	AK	11	41	0	G	43.98373612519046	-74.38999784238918
